dim,N,range_pct,num_kw,algorithm,trap_ms,query_ms,index_ms,total_ms,matched
vs_N,100,30,1,BVCRSA,66.77689400021336,36.336617999040755,17582.97625400155,17686.089766000805,1
vs_N,100,30,1,ECGRQ,0.08655300189275295,47.12226300034672,938.8131170017004,986.0219330039399,4
vs_N,500,30,1,BVCRSA,73.8987199983967,76.84536799933994,80352.50355300013,80503.24764099787,8
vs_N,500,30,1,ECGRQ,0.1184029970318079,100.20433500176296,1819.6609639999224,1919.9837019987172,4
vs_N,800,30,1,BVCRSA,65.90482799947495,68.39636800214066,127337.80624499923,127472.10744100084,16
vs_N,800,30,1,ECGRQ,0.07666500096092932,154.0984870007378,4817.090933000145,4971.266085001844,7
vs_N,1000,30,1,BVCRSA,63.10204100009287,110.22629999933997,160066.02750000093,160239.35584100036,21
vs_N,1000,30,1,ECGRQ,0.07511199873988517,151.8966020012158,4791.549747998943,4943.521461998898,4
vs_range,500,10,1,BVCRSA,70.0054690023535,37.14030600167462,79777.18492599888,79884.33070100291,2
vs_range,500,10,1,ECGRQ,0.1006599995889701,103.97005699996953,2850.6130189998657,2954.6837359994242,4
vs_range,500,20,1,BVCRSA,64.01856600132305,35.58459700070671,79143.80741500281,79243.41057800484,0
vs_range,500,20,1,ECGRQ,0.07462999928975478,103.66156400050386,2862.7085410007567,2966.4447350005503,4
vs_range,500,30,1,BVCRSA,64.66070000169566,38.50724600124522,80525.10695299861,80628.27489900155,1
vs_range,500,30,1,ECGRQ,0.07407899829559028,111.48635800054763,2830.131638002058,2941.6920750009012,4
vs_range,500,40,1,BVCRSA,64.26891199953388,38.616480997006875,79743.75496500215,79846.6403579987,2
vs_range,500,40,1,ECGRQ,0.07437000022036955,104.67778899692348,2886.3761319989862,2991.12829099613,6
vs_range,500,50,1,BVCRSA,69.47118300013244,37.16756700305268,80459.87006799987,80566.50881800306,3
vs_range,500,50,1,ECGRQ,0.07364900011452846,1057.8600240005471,1792.4595040021813,2850.393177002843,4
vs_kw,500,30,1,BVCRSA,60.957653000514256,37.85074299958069,80503.88043199928,80602.68882799937,1
vs_kw,500,30,1,ECGRQ,0.07300699871848337,1054.6972949996416,1807.210730999941,2861.981032998301,6
vs_kw,500,30,2,BVCRSA,67.13886199941044,104.30892800286529,84542.56280900154,84714.01059900381,29
vs_kw,500,30,2,ECGRQ,0.09207299808622338,70.25788900136831,2895.834797000134,2966.1847589995887,5
vs_kw,500,30,3,BVCRSA,60.92486200213898,102.8548399990541,81207.61129200037,81371.39099400156,32
vs_kw,500,30,3,ECGRQ,0.07713500235695392,71.29720500233816,2805.588594001165,2876.96293400586,6
vs_kw,500,30,4,BVCRSA,63.86665500031086,69.08658300017123,81608.14732600193,81741.10056400241,9
vs_kw,500,30,4,ECGRQ,0.10804400153574534,68.23987899770145,2817.7537439987645,2886.1016669980017,4
vs_kw,500,30,5,BVCRSA,62.14141199961887,67.11234099930152,81377.48256399937,81506.73631699829,14
vs_kw,500,30,5,ECGRQ,0.09094199776882306,68.76024899975164,2854.5159259992943,2923.3671169968147,6
